Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10 uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,183.275000,-132.334000,180.000000,top
C4,100 pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,188.722000,-119.013000,270.000000,top
C7,47uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,189.851000,-165.100000,0.000000,top
C9,22 uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,172.720000,-152.795000,90.000000,top
C10,22 uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,172.974000,-157.480000,270.000000,top
D1,On,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,173.115000,-133.858000,0.000000,top
D2,Wifi,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,172.974000,-137.922000,0.000000,top
D3,Open,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,173.115000,-142.240000,0.000000,top
D4,lvl1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.179000,-133.858000,0.000000,top
D5,lvl2,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.179000,-137.922000,0.000000,top
D6,lvl3,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,177.179000,-142.240000,0.000000,top
D7,D,D_SMA,205.994000,-144.780000,0.000000,top
D8,D,D_SMA,197.612000,-145.034000,180.000000,top
D9,SS34,D_SMA,185.388000,-147.828000,180.000000,top
R1,10k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,184.150000,-120.105500,270.000000,top
R2,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,188.214000,-130.846500,90.000000,top
R3,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,188.214000,-125.512500,90.000000,top
R4,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,188.214000,-136.180500,270.000000,top
R5,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,180.848000,-136.180500,90.000000,top
R6,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,184.404000,-136.107500,90.000000,top
R7,100,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,180.848000,-142.022500,90.000000,top
R8,47k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,184.658000,-142.022500,90.000000,top
R9,47k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,188.214000,-141.949500,90.000000,top
R10,10k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,177.546000,-156.718000,0.000000,top
R11,62k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,182.372000,-153.125500,270.000000,top
R12,3.3k,R_1206_3216Metric_Pad1.42x1.75mm_HandSolder,187.452000,-153.125500,90.000000,top
RESET1, ,boton,178.562000,-121.140000,270.000000,top
SW2, ,boton,215.138000,-139.192000,90.000000,top
U5,AMS1117,SOT-223-3_TabPin2,183.896000,-160.782000,90.000000,top
